congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
60,House,100,Democrat,170,,,-0.3602142857142857,-0.05423809523809523
60,House,200,Republican,230,0.442,-0.0285,0.43848695652173914,-0.001908695652173921
60,House,331,Ind. Republican,1,0.551,-0.746,0.551,-0.746
60,Senate,100,Democrat,37,,,-0.3609722222222222,-0.1893055555555555
60,Senate,200,Republican,65,0.426,-0.187,0.4259076923076923,-0.09372307692307692
61,President,200,Republican,1,0.175,-0.985,0.175,-0.985
61,House,100,Democrat,180,,,-0.3526592178770949,-0.017905027932960893
61,House,200,Republican,222,0.432,-0.0505,0.4266936936936937,-0.03531981981981982
61,Senate,100,Democrat,40,,,-0.3611578947368421,-0.26155263157894737
61,Senate,200,Republican,63,0.417,-0.129,0.4174285714285714,-0.06557142857142856
62,President,200,Republican,1,0.175,-0.985,0.175,-0.985
62,House,100,Democrat,237,-0.32,-0.002,-0.32546835443037975,-0.038704641350210976
62,House,200,Republican,170,,,0.4135384615384616,0.03063313609467457
62,House,213,Progressive Republican,1,0.11,0.866,0.11,0.866
62,House,380,Socialist,1,0.176,0.635,0.176,0.635
62,Senate,100,Democrat,53,,,-0.30964705882352944,-0.17576470588235296
62,Senate,200,Republican,57,0.417,-0.128,0.4074210526315789,-0.023263157894736843
63,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
63,House,100,Democrat,305,,,-0.3080132890365449,-0.04552491694352161
63,House,200,Republican,139,,,0.4036449275362319,0.049318840579710144
63,House,328,Independent,1,0.083,0.203,0.083,0.203
63,House,370,Progressive,9,0.29,0.557,0.28855555555555557,0.40066666666666667
63,Senate,100,Democrat,56,-0.278,-0.141,-0.2809464285714286,-0.14958928571428573
63,Senate,200,Republican,44,0.4175,-0.038,0.4068863636363636,0.03036363636363636
63,Senate,370,Progressive,1,0.199,0.341,0.199,0.341
64,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
64,House,100,Democrat,235,,,-0.3137905982905983,0.08239743589743591
64,House,200,Republican,200,0.4105,0.013,0.40984000000000004,-0.044395000000000004
64,House,328,Independent,1,0.083,0.203,0.083,0.203
64,House,347,Prohibitionist,1,0.026,0.591,0.026,0.591
64,House,370,Progressive,6,0.313,-0.059000000000000004,0.24583333333333332,-0.03316666666666668
64,House,380,Socialist,1,-0.026,0.512,-0.026,0.512
64,Senate,100,Democrat,58,-0.2865,-0.0635,-0.28468965517241374,-0.09534482758620691
64,Senate,200,Republican,42,0.432,-0.0495,0.4216666666666667,0.024833333333333343
65,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
65,House,100,Democrat,226,,,-0.3076488888888889,0.11936444444444445
65,House,200,Republican,225,,,0.4080403587443946,-0.030161434977578467
65,House,331,Ind. Republican,1,0.178,0.036,0.178,0.036
65,House,347,Prohibitionist,1,0.026,0.591,0.026,0.591
65,House,370,Progressive,3,0.214,0.233,0.13433333333333333,0.29133333333333333
65,House,380,Socialist,1,-0.026,0.512,-0.026,0.512
65,Senate,100,Democrat,62,,,-0.27860655737704915,-0.12242622950819672
65,Senate,200,Republican,49,,,0.41863829787234047,0.033446808510638304
66,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
66,House,100,Democrat,204,-0.3195,0.2575,-0.31084803921568627,0.12004411764705883
66,House,200,Republican,248,0.4095,0.058499999999999996,0.4045,0.0018629032258064577
66,House,331,Ind. Republican,1,0.194,0.981,0.194,0.981
66,House,347,Prohibitionist,1,0.026,0.591,0.026,0.591
66,House,356,Union Labor,1,-0.077,0.786,-0.077,0.786
66,Senate,100,Democrat,50,-0.281,-0.14,-0.29324000000000006,-0.15808
66,Senate,200,Republican,51,0.426,-0.055,0.42507843137254897,0.03303921568627451
67,President,200,Republican,1,0.445,-0.748,0.445,-0.748
67,House,100,Democrat,138,-0.312,0.4085,-0.3096086956521739,0.3182536231884058
67,House,200,Republican,313,,,0.39454340836012863,0.005961414790996777
67,House,331,Ind. Republican,1,0.452,-0.062,0.452,-0.062
67,House,380,Socialist,1,-0.026,0.512,-0.026,0.512
67,Senate,100,Democrat,40,,,-0.2864102564102564,-0.1387948717948718
67,Senate,200,Republican,67,,,0.4207424242424242,0.06345454545454546
68,President,200,Republican,2,0.4205,-0.219,0.4205,-0.219
68,House,100,Democrat,218,,,-0.2885576036866359,0.24305990783410134
68,House,200,Republican,233,0.413,0.109,0.40713733905579397,0.0536824034334764
68,House,380,Socialist,1,0.176,0.635,0.176,0.635
68,House,537,Farmer-Labor,2,0.151,0.9884999999999999,0.151,0.9884999999999999
68,Senate,100,Democrat,43,-0.259,-0.028,-0.2532790697674419,-0.09018604651162793
68,Senate,200,Republican,59,0.43,0.057,0.4138983050847458,0.060830508474576286
68,Senate,537,Farmer-Labor,2,0.19,0.9079999999999999,0.19,0.9079999999999999
69,President,200,Republican,1,0.396,0.31,0.396,0.31
69,House,100,Democrat,185,-0.265,0.521,-0.28051891891891895,0.32904864864864863
69,House,200,Republican,253,,,0.39469600000000005,0.008624000000000003
69,House,380,Socialist,1,0.176,0.635,0.176,0.635
69,House,523,American Labor,1,0.208,0.66,0.208,0.66
69,House,537,Farmer-Labor,3,0.151,0.988,0.075,0.9209999999999999
69,Senate,100,Democrat,43,-0.267,-0.055,-0.26865116279069773,-0.09153488372093024
69,Senate,200,Republican,61,0.419,0.14,0.39796721311475414,0.14557377049180328
69,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
70,President,200,Republican,1,0.396,0.31,0.396,0.31
70,House,100,Democrat,198,-0.2655,0.523,-0.285979797979798,0.309010101010101
70,House,200,Republican,243,,,0.382402489626556,0.01998340248962656
70,House,380,Socialist,1,0.176,0.635,0.176,0.635
70,House,537,Farmer-Labor,2,0.037,0.887,0.037,0.887
70,Senate,100,Democrat,48,-0.263,-0.034,-0.2726875,-0.05002083333333334
70,Senate,200,Republican,54,,,0.39249056603773586,0.14873584905660378
70,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
71,President,200,Republican,1,,,,
71,House,100,Democrat,177,,,-0.28365317919075145,0.29816184971098264
71,House,200,Republican,278,,,0.36887003610108304,0.014635379061371835
71,House,537,Farmer-Labor,2,-0.013999999999999999,0.349,-0.013999999999999999,0.349
71,Senate,100,Democrat,44,-0.268,0.0005000000000000004,-0.2784772727272728,0.01261363636363636
71,Senate,200,Republican,64,0.4185,0.0465,0.40342187500000004,0.06815625
71,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
72,President,200,Republican,1,,,,
72,House,100,Democrat,231,-0.249,0.503,-0.2556926406926407,0.3235974025974026
72,House,200,Republican,221,,,0.36033181818181814,-0.035872727272727264
72,House,537,Farmer-Labor,1,-0.179,-0.29,-0.179,-0.29
72,Senate,100,Democrat,53,,,-0.2273846153846154,0.16390384615384615
72,Senate,200,Republican,52,0.3705,0.07400000000000001,0.3671346153846153,0.08121153846153847
72,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
73,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
73,House,100,Democrat,322,-0.2415,0.3105,-0.25148757763975155,0.2152639751552795
73,House,200,Republican,120,0.348,-0.2025,0.3310916666666666,-0.24065
73,House,537,Farmer-Labor,5,0.17,0.435,0.10659999999999999,0.45619999999999994
73,Senate,100,Democrat,65,-0.221,0.243,-0.20793846153846157,0.2461076923076923
73,Senate,200,Republican,37,0.323,0.048,0.33194594594594595,0.09632432432432432
73,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
74,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
74,House,100,Democrat,329,,,-0.2556207951070336,0.18163302752293578
74,House,200,Republican,105,0.318,-0.243,0.3050761904761905,-0.27012380952380954
74,House,370,Progressive,7,-0.119,-0.744,-0.10757142857142858,-0.448
74,House,537,Farmer-Labor,3,-0.179,-0.29,-0.07666666666666667,0.03099999999999999
74,Senate,100,Democrat,77,,,-0.20784000000000002,0.2311333333333333
74,Senate,200,Republican,26,,,0.29719999999999996,0.17260000000000006
74,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
74,Senate,537,Farmer-Labor,2,0.11499999999999999,0.989,0.11499999999999999,0.989
75,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
75,House,100,Democrat,343,,,-0.2559705882352941,0.16919999999999996
75,House,200,Republican,94,,,0.31353763440860216,-0.17730107526881722
75,House,370,Progressive,8,-0.14150000000000001,-0.5085,-0.15075,-0.42124999999999996
75,House,537,Farmer-Labor,5,-0.28,-0.936,-0.2782,-0.7458
75,Senate,100,Democrat,84,,,-0.22764634146341464,0.24249999999999997
75,Senate,200,Republican,19,,,0.26688235294117646,0.04182352941176469
75,Senate,328,Independent,1,0.134,0.991,0.134,0.991
75,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
75,Senate,537,Farmer-Labor,2,0.2135,0.977,0.2135,0.977
76,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
76,House,100,Democrat,276,,,-0.24912454212454216,0.27438095238095234
76,House,200,Republican,178,0.3025,-0.2435,0.3081629213483146,-0.24989325842696627
